Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount_Percent,Payment_Method,Order_Status,Customer_Rating,Customer_Name,Gender,Age,City,State,Registration_Date,Product,Category,Unit_Price,Unit_Cost,Gross_Sales,Discount_Amount,Net_Sales,Total_Cost,Profit,Profit_Margin,Order_Size,Customer_Type,Year,Month,Year_Month
O0001,2024-01-12,C014,P008,2,25,Credit Card,Delivered,4.0,Isha Singh,Female,46,Mumbai,Maharashtra,2023-08-27,Denim Jeans,Fashion,2199,1100,4398,1099.5,3298.5,2200,1098.5,33.303016522661814,Medium,Regular,2024,January,2024-01
O0002,2024-01-23,C027,P015,3,20,Debit Card,Delivered,2.0,Rohan Verma,Male,29,Hyderabad,Telangana,2024-04-04,Wall Clock,Home Decor,999,430,2997,599.4,2397.6,1290,1107.6,46.19619619619619,Medium,Regular,2024,January,2024-01
O0003,2024-02-03,C040,P022,4,15,Cash on Delivery,Delivered,5.0,Simran Sharma,Female,48,Kolkata,West Bengal,2023-01-31,Dumbbell Set,Fitness,3499,2200,13996,2099.4,11896.6,8800,3096.6000000000004,26.029285678261015,Large,High-Value,2024,February,2024-02
O0004,2024-02-14,C003,P004,1,10,Net Banking,Delivered,3.0,Arjun Verma,Male,41,Gurugram,Haryana,2023-02-21,Laptop Stand,Electronics,1499,800,1499,149.9,1349.1,800,549.0999999999999,40.701208212882655,Medium,Regular,2024,February,2024-02
O0005,2024-02-25,C016,P011,2,5,UPI,Delivered,1.0,Pooja Sharma,Female,24,Bengaluru,Karnataka,2023-09-30,Mixer Grinder,Home Appliances,3799,2450,7598,379.9,7218.1,4900,2318.1000000000004,32.115099541430574,Large,High-Value,2024,February,2024-02
O0006,2024-03-07,C029,P018,3,0,Credit Card,Delivered,4.0,Vivek Das,Male,43,Jaipur,Rajasthan,2024-05-08,Study Table,Furniture,7299,4700,21897,0.0,21897.0,14100,7797.0,35.60761748184682,Large,High-Value,2024,March,2024-03
O0007,2024-03-18,C042,P025,4,25,Debit Card,Delivered,2.0,Aditi Khan,Female,26,Delhi,Delhi,2023-03-06,Coffee Maker,Home Appliances,5299,3400,21196,5299.0,15897.0,13600,2297.0,14.449267157325282,Large,High-Value,2024,March,2024-03
O0008,2024-03-29,C005,P007,1,20,Cash on Delivery,Returned,5.0,Kabir Das,Male,55,Pune,Maharashtra,2023-03-27,Casual Shirt,Fashion,1299,620,1299,259.8,1039.2,620,419.20000000000005,40.3387220939184,Medium,Regular,2024,March,2024-03
O0009,2024-04-09,C018,P014,2,15,Net Banking,Cancelled,3.0,Ritika Khan,Female,38,Chennai,Tamil Nadu,2023-11-03,Table Lamp,Home Decor,1199,570,2398,359.7,2038.3,1140,898.3,44.07103959181671,Medium,Regular,2024,April,2024-04
O0010,2024-04-20,C031,P021,3,10,UPI,Delivered,1.0,Rahul Patel,Male,21,Noida,Uttar Pradesh,2024-06-11,Yoga Mat,Fitness,1299,610,3897,389.7,3507.3,1830,1677.3000000000002,47.82311179539817,Medium,Regular,2024,April,2024-04
