Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount_Percent,Payment_Method,Order_Status,Customer_Rating,Customer_Name,Gender,Age,City,State,Registration_Date,Product,Category,Unit_Price,Unit_Cost,Gross_Sales,Discount_Amount,Net_Sales,Total_Cost,Profit,Profit_Margin,Order_Size,Customer_Type,Year,Month,Year_Month
O0006,2024-03-07,C029,P018,3,0,Credit Card,Delivered,4.0,Vivek Das,Male,43,Jaipur,Rajasthan,2024-05-08,Study Table,Furniture,7299,4700,21897,0.0,21897.0,14100,7797.0,35.60761748184682,Large,High-Value,2024,March,2024-03
O0007,2024-03-18,C042,P025,4,25,Debit Card,Delivered,2.0,Aditi Khan,Female,26,Delhi,Delhi,2023-03-06,Coffee Maker,Home Appliances,5299,3400,21196,5299.0,15897.0,13600,2297.0,14.449267157325282,Large,High-Value,2024,March,2024-03
O0011,2024-05-01,C044,P003,4,5,Credit Card,Delivered,4.0,Ananya Mehta,Female,40,Mumbai,Maharashtra,2023-04-09,Smart Watch,Electronics,4999,3100,19996,999.8,18996.2,12400,6596.200000000001,34.723786862635684,Large,High-Value,2024,May,2024-05
O0031,2024-12-07,C004,P018,4,25,Credit Card,Delivered,4.0,Ananya Mehta,Female,48,Mumbai,Maharashtra,2023-03-10,Study Table,Furniture,7299,4700,29196,7299.0,21897.0,18800,3097.0,14.14348997579577,Large,High-Value,2024,December,2024-12
O0038,2025-02-22,C045,P017,3,20,Cash on Delivery,Returned,3.0,Kabir Das,Male,47,Pune,Maharashtra,2023-04-26,Office Chair,Furniture,8499,5600,25497,5099.4,20397.6,16800,3597.5999999999985,17.637369102247316,Large,High-Value,2025,February,2025-02
O0063,2025-11-24,C020,P017,4,15,Cash on Delivery,Delivered,5.0,Simran Mehta,Female,52,Kolkata,West Bengal,2023-12-07,Office Chair,Furniture,8499,5600,33996,5099.4,28896.6,22400,6496.5999999999985,22.482229743291597,Large,High-Value,2025,November,2025-11
O0066,2025-12-27,C009,P013,3,0,Credit Card,Delivered,4.0,Vivek Gupta,Male,47,Jaipur,Rajasthan,2023-06-03,Air Fryer,Home Appliances,6999,4350,20997,0.0,20997.0,13050,7947.0,37.84826403771967,Large,High-Value,2025,December,2025-12
O0091,2024-09-28,C034,P013,4,25,Credit Card,Delivered,4.0,Isha Khan,Female,42,Mumbai,Maharashtra,2024-08-01,Air Fryer,Home Appliances,6999,4350,27996,6999.0,20997.0,17400,3597.0,17.131018716959563,Large,High-Value,2024,September,2024-09
O0106,2025-03-12,C029,P018,3,10,Credit Card,Delivered,4.0,Vivek Das,Male,43,Jaipur,Rajasthan,2024-05-08,Study Table,Furniture,7299,4700,21897,2189.7,19707.3,14100,5607.299999999999,28.45290831316314,Large,High-Value,2025,March,2025-03
O0107,2025-03-23,C042,P025,4,5,Debit Card,Delivered,2.0,Aditi Khan,Female,26,Delhi,Delhi,2023-03-06,Coffee Maker,Home Appliances,5299,3400,21196,1059.8,20136.2,13600,6536.200000000001,32.45994775578312,Large,High-Value,2025,March,2025-03
